SNP ID,№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение),Аскохитоз (устойчивость),Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW
VE0111_0192,192,2016-04-28,8,38,54,16,42,80,95,15,3,3,3,3,7,1,9,9,5,7,7,2,2,60,55,53,60,60,21,21,25,30,30,37.1,42.5,23.6,30.9,25,12.2,18.5,11.2,13.9,10.2,99,78,48,60,48,110,89,63,781,58,13.2,12.8,8.9,10.4,8.1,7,18,20,18,18,18,8,8,8,8,8,3,10,145
VE0112_0450,450,2016-04-28,7,35,54,19,44,79,90,11,3,5,3,3,7,1,9,7,5,7,5,1,1,56,53,62,61,65,25,18,20,30,25,17.2,31.3,48.9,61.1,51.2,6.5,15.3,22.6,23.3,24.6,30,50,76,102,80,48,46,96,137,106,7.3,8.8,15.8,22.5,18.9,7,19,19,20,19,20,8,8,8,8,8,3,10,145
VE0113_0687,687,2016-04-28,7,36,55,19,44,80,89,9,3,5,3,5,7,3,7,7,5,5,5,1,2,60,60,60,65,56,20,13,25,20,13,45.1,54,42.6,52.4,70.7,23.5,24.9,11.7,18.3,24.3,57,86,86,109,122,84,127,112,144,167,13.4,17.6,17.3,21.8,25.9,7,21,21,20,20,20,8,8,8,8,8,3,10,185
VE0114_0688,688,2016-04-28,7,36,55,19,47,83,100,17,3,5,3,5,7,3,7,7,5,5,5,1,2,60,73,55,53,58,23,29,19,20,20,29.3,38.1,41.6,41.8,34.9,17.2,14.2,20.9,20.9,15.6,35,48,62,52,52,45,71,75,80,67,9,12.6,12.3,12.6,10.3,7,20,22,20,21,20,9,10,9,9,10,3,10,170
VE0115_0689,689,2016-04-28,7,40,55,15,41,81,94,13,3,5,3,5,7,1,9,5,5,5,5,1,2,60,56,56,60,63,32,17,25,33,27,29.4,51.8,40.3,36.7,45.5,15.4,32,22.1,25,23.7,36,58,49,44,51,54,79,57,51,66,10.3,12.6,11.1,8.8,14.2,7,21,22,22,22,20,10,11,10,10,10,3,11,195
VE0116_0690,690,2016-04-28,7,34,54,20,46,80,91,11,3,5,3,5,7,5,5,9,3,7,7,1,2,51,53,43,45,55,27,25,21,25,20,14.6,20.3,17.4,20.2,40.6,6.5,8.7,5.8,5.3,15.9,27,34,39,38,74,33,39,36,52,97,4.8,6.7,5.3,7.7,16.2,7,18,20,17,19,18,9,10,9,10,9,3,10,150
VE0117_0692,692,2016-04-28,7,35,56,21,49,84,103,19,3,5,3,5,7,5,5,9,5,7,7,2,2,50,55,60,62,50,20,25,20,23,20,41.9,27.4,22.4,38.3,90.4,10.1,11,8.6,24.4,35.7,117,80,53,56,189,173,95,75,71,234,20.8,11.8,8.9,8.7,26.8,7,17,17,16,18,19,9,9,8,9,9,3,14,125
VE0118_0693,693,2016-04-28,7,36,56,20,48,84,103,19,3,7,3,3,7,5,5,9,3,7,7,1,2,60,57,53,56,53,12,22,23,20,17,56.2,31.3,29.8,21.3,29.6,31.9,14.5,14.6,12.1,11.4,66,65,54,32,53,94,86,77,41,75,13.3,11.2,10.6,5.4,11.7,7,19,20,16,19,22,8,8,8,9,10,3,10,135
VE0119_0694,694,2016-04-28,7,33,55,22,49,82,100,18,3,5,3,3,7,5,5,7,3,5,5,1,2,45,53,45,65,53,20,15,20,17,20,17.3,21.7,18.3,75.2,29.8,5.3,10.4,5.7,36.6,16,43,43,44,49,140,58,60,63,66,185,7.5,7.6,8,9,22.7,7,20,18,20,19,19,8,8,10,10,8,3,10,135
VE0120_0695,695,2016-04-28,7,40,55,15,42,82,100,18,3,7,3,5,7,5,5,7,3,5,5,1,2,63,75,77,70,73,35,30,24,35,25,25.4,46.2,31.8,13.9,138,14.8,28.2,19.4,8.6,88.3,30,47,30,24,120,39,55,43,22,121,6.6,8,5.9,4.1,20.5,7,25,20,25,23,25,11,10,11,11,11,3,10,175
